timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1688653408918,387,S01_T01_Open_HomePage,200,OK,Thread Group 1-1,text,true,,1336943,30787,4,4,http://localhost/,45,0,1
1688653408918,85,S01_T01_Open_HomePage-0,200,OK,Thread Group 1-1,text,true,,53091,489,4,4,http://localhost/,45,0,1
1688653409009,3,S01_T01_Open_HomePage-1,200,OK,Thread Group 1-1,text,true,,59325,691,4,4,http://localhost/wp-includes/css/dashicons.min.css?ver=6.2.2,3,0,0
1688653409009,5,S01_T01_Open_HomePage-2,200,OK,Thread Group 1-1,text,true,,61442,746,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/css/al_product.min.css?timestamp=1680638387&ver=6.2.2,4,0,1
1688653409010,3,S01_T01_Open_HomePage-3,200,OK,Thread Group 1-1,text,true,,18488,762,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/css/shopping-cart.min.css?timestamp=1680638387&ver=6.2.2,3,0,0
1688653409010,3,S01_T01_Open_HomePage-4,200,OK,Thread Group 1-1,text,true,,7809,773,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/ic-form.min.css?timestamp=1680638387&ver=6.2.2,3,0,0
1688653409010,4,S01_T01_Open_HomePage-5,200,OK,Thread Group 1-1,text,true,,2232,760,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/css/variations-front.css?ver=6.2.2,4,0,1
1688653409010,6,S01_T01_Open_HomePage-6,200,OK,Thread Group 1-1,text,true,,97828,706,4,4,http://localhost/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2,4,0,1
1688653409014,6,S01_T01_Open_HomePage-7,200,OK,Thread Group 1-1,text,true,,791,757,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/includes/blocks/ic-blocks.min.css?timestamp=1680638387&ver=6.2.2,6,0,3
1688653409013,3,S01_T01_Open_HomePage-8,200,OK,Thread Group 1-1,text,true,,597,696,4,4,http://localhost/wp-includes/css/classic-themes.min.css?ver=6.2.2,3,0,0
1688653409013,7,S01_T01_Open_HomePage-9,200,OK,Thread Group 1-1,text,true,,228375,695,4,4,http://localhost/wp-content/themes/best-shop/style.css?ver=6.2.2,3,0,0
1688653409016,289,S01_T01_Open_HomePage-10,200,OK,Thread Group 1-1,text,true,,11318,644,4,4,https://fonts.googleapis.com/css?family=Poppins%3A300%2C300i%2C400%2C400i%2C700%2C700i%7CPoppins%3A300%2C300i%2C400%2C400i%2C500%2C500i%2C600%2C600i&subset=latin%2Clatin-ext,287,0,183
1688653409014,5,S01_T01_Open_HomePage-11,200,OK,Thread Group 1-1,text,true,,21361,703,4,4,http://localhost/wp-content/themes/best-shop/css/bootstrap.css?ver=6.2.2,5,0,2
1688653409017,2,S01_T01_Open_HomePage-12,200,OK,Thread Group 1-1,text,true,,5915,702,4,4,http://localhost/wp-content/themes/shop-woocommerce/style.css?ver=6.2.2,2,0,0
1688653409017,3,S01_T01_Open_HomePage-13,200,OK,Thread Group 1-1,text,true,,90139,693,4,4,http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.6.4,2,0,0
1688653409020,2,S01_T01_Open_HomePage-14,200,OK,Thread Group 1-1,text,true,,13747,701,4,4,http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0,2,0,0
1688653409020,2,S01_T01_Open_HomePage-15,200,OK,Thread Group 1-1,text,true,,7756,760,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/js/shopping-cart.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409021,2,S01_T01_Open_HomePage-16,200,OK,Thread Group 1-1,text,true,,1826,782,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/formbuilder-front.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409021,2,S01_T01_Open_HomePage-17,200,OK,Thread Group 1-1,text,true,,3895,754,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/cart/js/ic-cart.js?1680638387&ver=6.2.2,2,0,0
1688653409022,2,S01_T01_Open_HomePage-18,200,OK,Thread Group 1-1,text,true,,6243,763,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/js/variations.js?1680638387&ver=6.2.2,2,0,0
1688653409023,2,S01_T01_Open_HomePage-19,200,OK,Thread Group 1-1,text,true,,9996,701,4,4,http://localhost/wp-content/themes/best-shop/js/bootstrap.js?ver=6.2.2,2,0,0
1688653409023,2,S01_T01_Open_HomePage-20,200,OK,Thread Group 1-1,text,true,,23687,706,4,4,http://localhost/wp-content/themes/best-shop/js/jquery.marquee.js?ver=6.2.2,2,0,0
1688653409023,2,S01_T01_Open_HomePage-21,200,OK,Thread Group 1-1,bin,true,,37673,719,4,4,http://localhost/wp-content/uploads/2023/03/4be39811beb7289f20bd9b740df41e12-600x384.jpg,2,0,0
1688653409023,3,S01_T01_Open_HomePage-22,200,OK,Thread Group 1-1,bin,true,,75603,719,4,4,http://localhost/wp-content/uploads/2023/03/istockphoto-1003990772-612x612-1-600x384.jpg,2,0,0
1688653409024,2,S01_T01_Open_HomePage-23,200,OK,Thread Group 1-1,bin,true,,50455,709,4,4,http://localhost/wp-content/uploads/2023/03/71HLbOnEQlS._AC_SX466_-466x384.jpg,2,0,0
1688653409025,2,S01_T01_Open_HomePage-24,200,OK,Thread Group 1-1,bin,true,,8634,688,4,4,http://localhost/wp-content/uploads/2023/03/download.jpeg,2,0,0
1688653409025,2,S01_T01_Open_HomePage-25,200,OK,Thread Group 1-1,,true,,28902,750,4,4,http://localhost/wp-content/uploads/2023/03/depositphotos_271979220-stock-photo-fashion-and-hitech-lamp-in-600x384.webp,2,0,0
1688653409026,1,S01_T01_Open_HomePage-26,200,OK,Thread Group 1-1,bin,true,,6183,690,4,4,http://localhost/wp-content/uploads/2023/03/download-1.jpeg,1,0,0
1688653409027,2,S01_T01_Open_HomePage-27,200,OK,Thread Group 1-1,bin,true,,53732,718,4,4,http://localhost/wp-content/uploads/2023/03/5126kf4HSML._AC_UF8941000_QL80_-600x384.jpg,2,0,0
1688653409027,2,S01_T01_Open_HomePage-28,200,OK,Thread Group 1-1,bin,true,,40335,709,4,4,http://localhost/wp-content/uploads/2023/03/61hahDsQI2L._AC_SX425_-425x384.jpg,2,0,0
1688653409027,3,S01_T01_Open_HomePage-29,200,OK,Thread Group 1-1,bin,true,,40565,718,4,4,http://localhost/wp-content/uploads/2023/03/61GaH6Q3ouL._AC_UF8941000_QL80_-600x384.jpg,3,0,0
1688653409027,3,S01_T01_Open_HomePage-30,200,OK,Thread Group 1-1,bin,true,,52228,698,4,4,http://localhost/wp-content/uploads/2023/03/15355W-2LED-600x384.jpg,3,0,0
1688653409028,2,S01_T01_Open_HomePage-31,200,OK,Thread Group 1-1,bin,true,,37371,720,4,4,http://localhost/wp-content/uploads/2023/03/51xWX91p-EL._AC_UF8941000_QL80_-1-600x384.jpg,2,0,0
1688653409029,3,S01_T01_Open_HomePage-32,200,OK,Thread Group 1-1,bin,true,,20571,698,4,4,http://localhost/wp-content/uploads/2023/03/unnamed-1-1-512x384.jpg,3,0,0
1688653409030,2,S01_T01_Open_HomePage-33,200,OK,Thread Group 1-1,bin,true,,64344,693,4,4,http://localhost/wp-content/uploads/2023/03/moha_2-600x384.jpg,2,0,0
1688653409030,2,S01_T01_Open_HomePage-34,200,OK,Thread Group 1-1,bin,true,,17435,715,4,4,http://localhost/wp-content/uploads/2023/03/il_fullxfull.1959759657_bg3h-600x384.jpg,2,0,0
1688653409030,2,S01_T01_Open_HomePage-35,200,OK,Thread Group 1-1,bin,true,,25266,858,4,4,http://localhost/wp-content/uploads/2023/03/decorations-awesome-home-lighting-decoration-with-blue-led-backlights-decoration-idea-in-modern-living-room-23-most-wonderful-led-lights-decorations-for-outdoor-and-indoor-600x384.jpg,2,0,0
1688653409031,1,S01_T01_Open_HomePage-36,200,OK,Thread Group 1-1,text,true,,16242,741,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/js/product.min.js?timestamp=1680638387&ver=6.2.2,1,0,0
1688653409032,2,S01_T01_Open_HomePage-37,200,OK,Thread Group 1-1,text,true,,6778,746,4,4,http://localhost/wp-content/plugins/ecommerce-product-catalog/js/product-ajax.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409032,2,S01_T01_Open_HomePage-38,200,OK,Thread Group 1-1,text,true,,479,713,4,4,http://localhost/wp-content/themes/shop-woocommerce/assests/preloader.js?ver=6.2.2,2,0,0
1688653409032,2,S01_T01_Open_HomePage-39,200,OK,Thread Group 1-1,text,true,,3396,713,4,4,http://localhost/wp-content/themes/best-shop/inc/assets/js/navigation.js?ver=1.0.3,2,0,0
1688653409032,3,S01_T01_Open_HomePage-40,200,OK,Thread Group 1-1,text,true,,17718,697,4,4,http://localhost/wp-content/themes/best-shop/js/modal.js?ver=1.0.3,3,0,0
1688653409033,1,S01_T01_Open_HomePage-41,200,OK,Thread Group 1-1,text,true,,3302,693,4,4,http://localhost/wp-includes/js/comment-reply.min.js?ver=6.2.2,1,0,0
1688653409034,2,S01_T01_Open_HomePage-42,200,OK,Thread Group 1-1,text,true,,3870,698,4,4,http://localhost/wp-content/themes/best-shop/js/custom.js?ver=6.2.2,2,0,0
1688653408615,387,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1336943,30787,4,4,null,45,305,1
1688653409117,1423,S01_T01_Open_HomePage,200,OK,Thread Group 1-2,text,true,,1336943,30787,5,5,http://localhost/,40,0,1
1688653409117,79,S01_T01_Open_HomePage-0,200,OK,Thread Group 1-2,text,true,,53091,489,5,5,http://localhost/,40,0,1
1688653409202,5,S01_T01_Open_HomePage-1,200,OK,Thread Group 1-2,text,true,,59326,691,5,5,http://localhost/wp-includes/css/dashicons.min.css?ver=6.2.2,5,0,1
1688653409202,337,S01_T01_Open_HomePage-2,200,OK,Thread Group 1-2,text,true,,61442,746,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/css/al_product.min.css?timestamp=1680638387&ver=6.2.2,337,0,1
1688653409202,6,S01_T01_Open_HomePage-3,200,OK,Thread Group 1-2,text,true,,18488,762,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/css/shopping-cart.min.css?timestamp=1680638387&ver=6.2.2,6,0,1
1688653409202,2,S01_T01_Open_HomePage-4,200,OK,Thread Group 1-2,text,true,,7808,773,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/ic-form.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409202,8,S01_T01_Open_HomePage-5,200,OK,Thread Group 1-2,text,true,,2232,760,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/css/variations-front.css?ver=6.2.2,8,0,1
1688653409203,494,S01_T01_Open_HomePage-6,200,OK,Thread Group 1-2,text,true,,97828,706,5,5,http://localhost/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2,492,0,0
1688653409205,1335,S01_T01_Open_HomePage-7,200,OK,Thread Group 1-2,text,true,,791,757,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/includes/blocks/ic-blocks.min.css?timestamp=1680638387&ver=6.2.2,1335,0,1
1688653409208,1332,S01_T01_Open_HomePage-8,200,OK,Thread Group 1-2,text,true,,598,696,5,5,http://localhost/wp-includes/css/classic-themes.min.css?ver=6.2.2,1332,0,1
1688653409209,7,S01_T01_Open_HomePage-9,200,OK,Thread Group 1-2,text,true,,228375,695,5,5,http://localhost/wp-content/themes/best-shop/style.css?ver=6.2.2,2,0,0
1688653409211,144,S01_T01_Open_HomePage-10,200,OK,Thread Group 1-2,text,true,,11318,644,5,5,https://fonts.googleapis.com/css?family=Poppins%3A300%2C300i%2C400%2C400i%2C700%2C700i%7CPoppins%3A300%2C300i%2C400%2C400i%2C500%2C500i%2C600%2C600i&subset=latin%2Clatin-ext,141,0,45
1688653409218,2,S01_T01_Open_HomePage-11,200,OK,Thread Group 1-2,text,true,,21360,703,5,5,http://localhost/wp-content/themes/best-shop/css/bootstrap.css?ver=6.2.2,2,0,0
1688653409221,1,S01_T01_Open_HomePage-12,200,OK,Thread Group 1-2,text,true,,5915,702,5,5,http://localhost/wp-content/themes/shop-woocommerce/style.css?ver=6.2.2,1,0,0
1688653409223,3,S01_T01_Open_HomePage-13,200,OK,Thread Group 1-2,text,true,,90139,693,5,5,http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.6.4,2,0,0
1688653409226,2,S01_T01_Open_HomePage-14,200,OK,Thread Group 1-2,text,true,,13747,701,5,5,http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0,2,0,0
1688653409228,1,S01_T01_Open_HomePage-15,200,OK,Thread Group 1-2,text,true,,7756,760,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/js/shopping-cart.min.js?timestamp=1680638387&ver=6.2.2,1,0,0
1688653409229,2,S01_T01_Open_HomePage-16,200,OK,Thread Group 1-2,text,true,,1826,782,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/formbuilder-front.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409231,2,S01_T01_Open_HomePage-17,200,OK,Thread Group 1-2,text,true,,3895,754,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/cart/js/ic-cart.js?1680638387&ver=6.2.2,2,0,0
1688653409233,1,S01_T01_Open_HomePage-18,200,OK,Thread Group 1-2,text,true,,6243,763,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/js/variations.js?1680638387&ver=6.2.2,1,0,0
1688653409235,1,S01_T01_Open_HomePage-19,200,OK,Thread Group 1-2,text,true,,9996,701,5,5,http://localhost/wp-content/themes/best-shop/js/bootstrap.js?ver=6.2.2,1,0,0
1688653409236,2,S01_T01_Open_HomePage-20,200,OK,Thread Group 1-2,text,true,,23687,706,5,5,http://localhost/wp-content/themes/best-shop/js/jquery.marquee.js?ver=6.2.2,2,0,0
1688653409239,2,S01_T01_Open_HomePage-21,200,OK,Thread Group 1-2,bin,true,,37673,719,5,5,http://localhost/wp-content/uploads/2023/03/4be39811beb7289f20bd9b740df41e12-600x384.jpg,1,0,0
1688653409241,2,S01_T01_Open_HomePage-22,200,OK,Thread Group 1-2,bin,true,,75603,719,5,5,http://localhost/wp-content/uploads/2023/03/istockphoto-1003990772-612x612-1-600x384.jpg,2,0,0
1688653409244,2,S01_T01_Open_HomePage-23,200,OK,Thread Group 1-2,bin,true,,50455,709,5,5,http://localhost/wp-content/uploads/2023/03/71HLbOnEQlS._AC_SX466_-466x384.jpg,2,0,0
1688653409246,1,S01_T01_Open_HomePage-24,200,OK,Thread Group 1-2,bin,true,,8634,688,5,5,http://localhost/wp-content/uploads/2023/03/download.jpeg,1,0,0
1688653409248,1,S01_T01_Open_HomePage-25,200,OK,Thread Group 1-2,,true,,28902,750,5,5,http://localhost/wp-content/uploads/2023/03/depositphotos_271979220-stock-photo-fashion-and-hitech-lamp-in-600x384.webp,1,0,0
1688653409249,1,S01_T01_Open_HomePage-26,200,OK,Thread Group 1-2,bin,true,,6183,690,5,5,http://localhost/wp-content/uploads/2023/03/download-1.jpeg,1,0,0
1688653409251,1,S01_T01_Open_HomePage-27,200,OK,Thread Group 1-2,bin,true,,53732,718,5,5,http://localhost/wp-content/uploads/2023/03/5126kf4HSML._AC_UF8941000_QL80_-600x384.jpg,1,0,0
1688653409252,2,S01_T01_Open_HomePage-28,200,OK,Thread Group 1-2,bin,true,,40335,709,5,5,http://localhost/wp-content/uploads/2023/03/61hahDsQI2L._AC_SX425_-425x384.jpg,2,0,0
1688653409254,1,S01_T01_Open_HomePage-29,200,OK,Thread Group 1-2,bin,true,,40565,718,5,5,http://localhost/wp-content/uploads/2023/03/61GaH6Q3ouL._AC_UF8941000_QL80_-600x384.jpg,1,0,0
1688653409255,2,S01_T01_Open_HomePage-30,200,OK,Thread Group 1-2,bin,true,,52228,698,5,5,http://localhost/wp-content/uploads/2023/03/15355W-2LED-600x384.jpg,2,0,0
1688653409257,2,S01_T01_Open_HomePage-31,200,OK,Thread Group 1-2,bin,true,,37371,720,5,5,http://localhost/wp-content/uploads/2023/03/51xWX91p-EL._AC_UF8941000_QL80_-1-600x384.jpg,2,0,0
1688653409259,1,S01_T01_Open_HomePage-32,200,OK,Thread Group 1-2,bin,true,,20571,698,5,5,http://localhost/wp-content/uploads/2023/03/unnamed-1-1-512x384.jpg,1,0,0
1688653409260,3,S01_T01_Open_HomePage-33,200,OK,Thread Group 1-2,bin,true,,64344,693,5,5,http://localhost/wp-content/uploads/2023/03/moha_2-600x384.jpg,2,0,0
1688653409263,1,S01_T01_Open_HomePage-34,200,OK,Thread Group 1-2,bin,true,,17435,715,5,5,http://localhost/wp-content/uploads/2023/03/il_fullxfull.1959759657_bg3h-600x384.jpg,1,0,0
1688653409264,2,S01_T01_Open_HomePage-35,200,OK,Thread Group 1-2,bin,true,,25266,858,5,5,http://localhost/wp-content/uploads/2023/03/decorations-awesome-home-lighting-decoration-with-blue-led-backlights-decoration-idea-in-modern-living-room-23-most-wonderful-led-lights-decorations-for-outdoor-and-indoor-600x384.jpg,1,0,0
1688653409266,1,S01_T01_Open_HomePage-36,200,OK,Thread Group 1-2,text,true,,16242,741,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/js/product.min.js?timestamp=1680638387&ver=6.2.2,1,0,0
1688653409267,2,S01_T01_Open_HomePage-37,200,OK,Thread Group 1-2,text,true,,6778,746,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/js/product-ajax.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409269,1,S01_T01_Open_HomePage-38,200,OK,Thread Group 1-2,text,true,,479,713,5,5,http://localhost/wp-content/themes/shop-woocommerce/assests/preloader.js?ver=6.2.2,1,0,0
1688653409270,1,S01_T01_Open_HomePage-39,200,OK,Thread Group 1-2,text,true,,3396,713,5,5,http://localhost/wp-content/themes/best-shop/inc/assets/js/navigation.js?ver=1.0.3,1,0,0
1688653409271,1,S01_T01_Open_HomePage-40,200,OK,Thread Group 1-2,text,true,,17718,697,5,5,http://localhost/wp-content/themes/best-shop/js/modal.js?ver=1.0.3,1,0,0
1688653409273,1,S01_T01_Open_HomePage-41,200,OK,Thread Group 1-2,text,true,,3302,693,5,5,http://localhost/wp-includes/js/comment-reply.min.js?ver=6.2.2,1,0,0
1688653409274,1,S01_T01_Open_HomePage-42,200,OK,Thread Group 1-2,text,true,,3870,698,5,5,http://localhost/wp-content/themes/best-shop/js/custom.js?ver=6.2.2,1,0,0
1688653408815,1423,Test,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1336943,30787,5,5,null,40,306,1
1688653409608,1935,S01_T01_Open_HomePage,200,OK,Thread Group 1-1,text,true,,1336936,30787,5,5,http://localhost/,35,0,0
1688653409608,75,S01_T01_Open_HomePage-0,200,OK,Thread Group 1-1,text,true,,53090,489,5,5,http://localhost/,35,0,0
1688653409689,4,S01_T01_Open_HomePage-1,200,OK,Thread Group 1-1,text,true,,59325,691,5,5,http://localhost/wp-includes/css/dashicons.min.css?ver=6.2.2,2,0,0
1688653409689,3,S01_T01_Open_HomePage-2,200,OK,Thread Group 1-1,text,true,,61441,746,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/css/al_product.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409689,2,S01_T01_Open_HomePage-3,200,OK,Thread Group 1-1,text,true,,18487,762,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/css/shopping-cart.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409689,2,S01_T01_Open_HomePage-4,200,OK,Thread Group 1-1,text,true,,7808,773,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/ic-form.min.css?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409689,5,S01_T01_Open_HomePage-5,200,OK,Thread Group 1-1,text,true,,2231,760,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/css/variations-front.css?ver=6.2.2,5,0,0
1688653409689,7,S01_T01_Open_HomePage-6,200,OK,Thread Group 1-1,text,true,,97827,706,5,5,http://localhost/wp-includes/css/dist/block-library/style.min.css?ver=6.2.2,5,0,0
1688653409692,1851,S01_T01_Open_HomePage-7,200,OK,Thread Group 1-1,text,true,,791,757,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/includes/blocks/ic-blocks.min.css?timestamp=1680638387&ver=6.2.2,1851,0,1
1688653409692,2,S01_T01_Open_HomePage-8,200,OK,Thread Group 1-1,text,true,,597,696,5,5,http://localhost/wp-includes/css/classic-themes.min.css?ver=6.2.2,2,0,0
1688653409692,9,S01_T01_Open_HomePage-9,200,OK,Thread Group 1-1,text,true,,228375,695,5,5,http://localhost/wp-content/themes/best-shop/style.css?ver=6.2.2,3,0,0
1688653409694,108,S01_T01_Open_HomePage-10,200,OK,Thread Group 1-1,text,true,,11318,644,5,5,https://fonts.googleapis.com/css?family=Poppins%3A300%2C300i%2C400%2C400i%2C700%2C700i%7CPoppins%3A300%2C300i%2C400%2C400i%2C500%2C500i%2C600%2C600i&subset=latin%2Clatin-ext,101,0,0
1688653409695,4,S01_T01_Open_HomePage-11,200,OK,Thread Group 1-1,text,true,,21360,703,5,5,http://localhost/wp-content/themes/best-shop/css/bootstrap.css?ver=6.2.2,4,0,0
1688653409695,4,S01_T01_Open_HomePage-12,200,OK,Thread Group 1-1,text,true,,5915,702,5,5,http://localhost/wp-content/themes/shop-woocommerce/style.css?ver=6.2.2,4,0,0
1688653409698,3,S01_T01_Open_HomePage-13,200,OK,Thread Group 1-1,text,true,,90139,693,5,5,http://localhost/wp-includes/js/jquery/jquery.min.js?ver=3.6.4,2,0,0
1688653409700,2,S01_T01_Open_HomePage-14,200,OK,Thread Group 1-1,text,true,,13747,701,5,5,http://localhost/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.0,2,0,0
1688653409700,2,S01_T01_Open_HomePage-15,200,OK,Thread Group 1-1,text,true,,7756,760,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/js/shopping-cart.min.js?timestamp=1680638387&ver=6.2.2,2,0,0
1688653409702,1,S01_T01_Open_HomePage-16,200,OK,Thread Group 1-1,text,true,,1826,782,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/ext/formbuilder/dist/formbuilder-front.min.js?timestamp=1680638387&ver=6.2.2,1,0,0
1688653409702,2,S01_T01_Open_HomePage-17,200,OK,Thread Group 1-1,text,true,,3895,754,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/cart/js/ic-cart.js?1680638387&ver=6.2.2,2,0,0
1688653409702,2,S01_T01_Open_HomePage-18,200,OK,Thread Group 1-1,text,true,,6243,763,5,5,http://localhost/wp-content/plugins/ecommerce-product-catalog/modules/cart/includes/variations/js/variations.js?1680638387&ver=6.2.2,2,0,0
1688653409703,2,S01_T01_Open_HomePage-19,200,OK,Thread Group 1-1,text,true,,9996,701,5,5,http://localhost/wp-content/themes/best-shop/js/bootstrap.js?ver=6.2.2,2,0,0
1688653409704,2,S01_T01_Open_HomePage-20,200,OK,Thread Group 1-1,text,true,,23687,706,5,5,http://localhost/wp-content/themes/best-shop/js/jquery.marquee.js?ver=6.2.2,2,0,0
1688653409704,3,S01_T01_Open_HomePage-21,200,OK,Thread Group 1-1,bin,true,,37673,719,5,5,http://localhost/wp-content/uploads/2023/03/4be39811beb7289f20bd9b740df41e12-600x384.jpg,3,0,0
